gene_name,TM_PC,TM_D14,TM_D21,TM_D28,TM_D42_D14P1
EMILIN1,7854,7886,10275,4159,2790
RHOQ,4745,10246,12575,4943,3081
FZD1,3343,6977,10191,5264,4257
RAD21,6114,8464,12046,3575,2306
NDUFA4L2,15822,2653,3955,2697,1205
ARHGAP31,2590,12063,16758,5218,3477
CSRP1,3743,10962,12569,5766,7045
CAST,1383,12691,20111,6813,4846
HSPD1,2368,11052,15097,5358,2792
CRTAC1,616,5258,17736,12076,2569
ASNS,1436,11126,16304,7042,4534
RPL34,4773,7521,12534,5490,3511
TKT,2295,6269,12411,3974,3836
SHMT2,2965,10853,15896,5673,3843
RBFOX2,4734,9163,13680,5294,3594
CREB3L1,2823,12360,16593,5949,3405
IGFBP5,10924,8576,6068,2436,1464
SMOC2,3193,10486,16801,9325,5073
WDR1,3293,10513,14825,4559,4425
CDC42BPA,4248,9974,14159,5624,4768
ZFP36L1,2630,10511,12855,5104,2320
SSPN,2155,11379,12870,7158,3593
PICALM,2111,12760,15805,6770,5317
CAPZA1,3909,8604,14701,4666,3366
SLC6A6,1530,10218,16090,5949,7276
RBMS1,3549,11418,15705,5387,3952
BHLHE40,2367,9411,12492,6221,4958
RPL37A,2250,7968,12975,6203,4023
GDI2,3818,11662,15619,5515,4361
CERK,2466,11206,15664,5957,3513
ARF6,2574,9951,15649,4793,3388
DPYD,1625,11651,19160,7356,5072
PHGDH,1910,6769,11034,3738,2866
GGTA1,2057,12681,18155,5908,3857
PTN,24774,1534,1936,1102,471
AARS1,2680,11518,15183,7301,4578
TAPBP,5179,7292,13628,5019,3490
PTMS,4539,8288,11630,3660,3674
CLMP,3910,10849,14929,5449,4258
P3H1,12849,7897,12129,4597,3137
PLXNA1,4235,10818,16339,5088,4714
KCTD12,6787,12957,16771,4499,1488
HMGN1,3463,7741,10752,3788,2583
UNC5B,8760,5470,7185,5103,2765
KPNB1,2241,10531,13044,4279,2233
ARSA,2972,9099,17004,6695,4771
SRSF6,3497,8822,10506,3966,3271
PCBP1,3619,9961,13243,4433,3334
TUBB6,1840,13898,17634,4889,3324
FAU,3099,8296,12822,5878,4222
XBP1,1466,10636,16893,6855,5751
CHD4,3549,11786,13355,4489,3335
VASN,15401,7065,11943,4744,3538
KIF5B,3569,12318,14614,4742,3060
RDX,2645,9821,14485,5180,3546
S100A10,3354,9948,15557,5578,5797
INPPL1,3015,11947,15294,5031,3386
SCRIB,4114,8265,16564,4909,3929
MBTPS1,5090,8739,13057,5145,4360
COPG1,2919,8730,14642,5145,3730
SND1,4217,9341,11809,4684,3359
PPP1R9B,4143,10025,14683,4753,4388
EXT2,3563,8863,13518,5250,4350
SREBF1,2885,3243,5874,1617,1452
TRAM1,2268,10633,14792,5619,3921
DAG1,2293,11685,15713,6808,5013
